ResUnitAmenities
Property_Code,Unit_Code,Amenity_Code,Amenity_Name,Amenity_Description,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes,Ref_Property_ID,Ref_Unit_Id
"ce","C0003D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1A","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-2A","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-2C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3A","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4A","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4B","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-5A","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-5B","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6A","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6B","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-4D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-5C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-5D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-6D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5250C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5254D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1B","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-1D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-2B","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-2D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3B","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","S1500-3D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0007C","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C0007D","Rent","Rent","Rent",657.00,02/22/2017,729.00,03/31/2017,729.00,03/31/2017,,,
"ce","C5322C","Rent","Rent","Rent",657.00,02/22/2017,729.00,03/31/2017,729.00,03/31/2017,,,
"ce","C5322D","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5324C","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5324D","Rent","Rent","Rent",657.00,02/22/2017,729.00,03/31/2017,729.00,03/31/2017,,,
"ce","C5326C","Rent","Rent","Rent",644.00,03/31/2016,657.00,02/22/2017,657.00,03/31/2017,,,
"ce","C5326D","Rent","Rent","Rent",657.00,02/22/2017,729.00,03/31/2017,729.00,03/31/2017,,,
"ce","C5252C","Rent","Rent","Rent",708.00,02/22/2017,829.00,03/31/2017,829.00,03/31/2017,,,
"ce","C5252D","Rent","Rent","Rent",708.00,02/22/2017,829.00,03/31/2017,829.00,03/31/2017,,,
"ce","C5250D","Rent","Rent","Rent",714.00,03/31/2016,728.00,02/22/2017,728.00,03/31/2017,,,
"ce","C5254C","Rent","Rent","Rent",714.00,03/31/2016,728.00,02/22/2017,728.00,03/31/2017,,,
"ce","C0003C","Rent","Rent","Rent",734.00,03/31/2016,749.00,02/22/2017,749.00,03/31/2017,,,
"ce","C0003D","Rent","Rent","Rent",734.00,03/31/2016,749.00,02/22/2017,749.00,03/31/2017,,,
"ce","S1500-1C","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-2A","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-2C","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-3C","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-5A","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-5B","Rent","Rent","Rent",744.00,03/31/2016,759.00,02/22/2017,759.00,03/31/2017,,,
"ce","S1500-4C","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","S1500-4D","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","S1500-5C","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","S1500-5D","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","S1500-6C","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","S1500-6D","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","C5250C","Rent","Rent","Rent",738.00,02/22/2017,879.00,03/31/2017,879.00,03/31/2017,,,
"ce","C5254D","Rent","Rent","Rent",724.00,03/31/2016,738.00,02/22/2017,738.00,03/31/2017,,,
"ce","S1500-1D","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-2B","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-2D","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-3D","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","C0003E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0003F","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0003G","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0003H","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0007E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0007F","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0007G","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0007H","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0011E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0011F","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0011G","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0011H","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5250E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5250F","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5250G","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5250H","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5252E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5252F","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5252G","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5252H","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5254E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5254F","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5254G","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5254H","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5269E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5269F","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5269G","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5269H","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5271E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5271F","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5271G","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5271H","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5273E","2ndfloor","2nd Floor","2nd Floor",,,10.00,04/17/2013,10.00,03/31/2017,,,
