CommUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
ce,,,C5322L,Residential,us,,,,,,1/5/2019,5322 Camelot Drive L,,,,Fairfield,OH,45014,705,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322M,Residential,us,,,,,,11/12/2018,5322 Camelot Drive M,,,,Fairfield,OH,45014,800,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324A,Residential,us,,,,,,,5324 Camelot Drive A,,,,Fairfield,OH,45014,675,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324B,Residential,us,,,,,,6/30/2014,5324 Camelot Drive B,,,,Fairfield,OH,45014,675,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324C,Residential,us,,,,,,3/13/2018,5324 Camelot Drive C,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324D,Residential,us,,,,,,,5324 Camelot Drive D,,,,Fairfield,OH,45014,780,675,0,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324E,Model,us,,,,,4/30/2013,4/30/2013,5324 Camelot Drive E,,,,Fairfield,OH,45014,780,675,0,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324F,Residential,us,,,,,,,5324 Camelot Drive F,,,,Fairfield,OH,45014,685,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324G,Residential,us,,,,,,4/25/2018,5324 Camelot Drive G,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324H,Residential,us,,,,,,,5324 Camelot Drive H,,,,Fairfield,OH,45014,685,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324J,Residential,us,,,,,,3/23/2018,5324 Camelot Drive J,,,,Fairfield,OH,45014,790,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324K,Residential,us,,,,,,7/17/2018,5324 Camelot Drive K,,,,Fairfield,OH,45014,695,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324L,Residential,us,,,,,,1/2/2019,5324 Camelot Drive L,,,,Fairfield,OH,45014,705,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5324M,Residential,us,,,,,,5/26/2018,5324 Camelot Drive M,,,,Fairfield,OH,45014,705,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326A,Residential,us,,,,,,1/31/2015,5326 Camelot Drive A,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326B,Residential,us,,,,,,8/20/2018,5326 Camelot Drive B,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326C,Residential,us,,,,,,11/6/2015,5326 Camelot Drive C,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326D,Residential,us,,,,,,8/16/2018,5326 Camelot Drive D,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326E,Residential,us,,,,,,1/9/2018,5326 Camelot Drive E,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326F,Residential,us,,,,,,7/28/2018,5326 Camelot Drive F,,,,Fairfield,OH,45014,780,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326G,Residential,us,,,,,,,5326 Camelot Drive G,,,,Fairfield,OH,45014,685,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326H,Residential,us,,,,,,7/10/2018,5326 Camelot Drive H,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326J,Residential,us,,,,,,3/28/2017,5326 Camelot Drive J,,,,Fairfield,OH,45014,695,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326K,Residential,us,,,,,3/10/2019,3/10/2019,5326 Camelot Drive K,,,,Fairfield,OH,45014,695,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326L,Residential,us,,,,,,,5326 Camelot Drive L,,,,Fairfield,OH,45014,705,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5326M,Residential,us,,,,,,,5326 Camelot Drive M,,,,Fairfield,OH,45014,705,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,S1450A,Down,us,,,,,3/28/2018,3/28/2018,1450 Sherwood Drive A,,,,Fairfield,OH,45014,675,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
